source_id,full_citation,author,type,published,activity_start,activity_end,countries,independence,register,local_path,online_url
SKY24,Doppelgänger NG | Russian Cyberwarfare campaign,ClearSky Cyber Security,Commercial Threat Intel,2024-02-22,2024-01,2024-02,DE ABC; FR ABC,Primary,Primary,sources/SKY24.pdf,https://www.clearskysec.com/dg/
DFR24,Doppelganger targets Ukrainian and French audiences via Facebook ads,DFRLab,NGO / Research,2024-03-12,2023-07,2024-02,FR ABC; DE ABC,Primary,Primary,sources/DFR24.pdf,https://dfrlab.org/2024/03/12/doppelganger-operation-targets-ukraine/
AIF24,No Embargo in Sight: Meta lets Pro-Russia Propaganda Ads Flood the EU,AI Forensics,NGO / Research,2024-04-17,2023-08-17,2024-03-31,DE AC; FR AC,Primary,Primary,sources/AIF24.pdf,https://aiforensics.org/work/meta-political-ads
EDM24,"Russian disinformation network “Pravda” grew bigger in the EU, even after its uncovering",European Digital Media Observatory,NGO / Research,2024-04-24,2024-03,2024-04,EL AC; IT AC; NL AC; DK AC; HR AC; CZ AC; SK AC; BG AC; RO AC; FI AC; SE AC; PT AC; EE AC; LV AC; LT AC; HU AC; CY AC; IE AC; SI AC,Primary,Extended,sources/EDM24.pdf,https://edmo.eu/publications/russian-disinformation-network-pravda-grew-bigger-in-the-eu-even-after-its-uncovering/
SEK24,Master of Puppets: Uncovering the DoppelGänger pro-Russian influence campaign,Sekoia,Commercial Threat Intel,2024-05-21,2023-11,2024-04,FR ABC; DE ABC; LT A; IT AC; SK A,Primary,Primary,sources/SEK24.pdf,https://www.sekoia.com/blog/master-of-puppets-uncovering-the-doppelganger-pro-russian-influence-campaign#toc-3-i-doppelgnger-campaign-victims-objective
AIF24-2,"Supporting Evidence: Pro-Russian Ads Campaigns Approved by Meta from May 1 to May 27, 2024 in Italy, Germany, France & Poland",AI Forensics,NGO / Research,2024-05-27,2024-05-01,2024-05-27,DE: AC; FR AC; IT AC; PL AC,Primary,Primary,sources/AIF24-2.pdf,https://cmsbackend.aiforensics.org/uploads/Meta_Ads_Follow_up_27_May_24_46d87a3953.pdf
OAI24,AI and Covert Influence Operations: Latest Trends,OpenAI,Platform Disclosure,2024-05-30,2024-02,2024-04,DE AC; FR AC; PL AC; IT AC,Primary,Primary,sources/OAI24.pdf,https://openai.com/index/disrupting-deceptive-uses-of-ai-by-covert-influence-operations/
CHK24,Operation Overload: how pro-Russian actors flood newsrooms with fake content and seek to divert their efforts,CheckFirst,Commercial Threat Intel,2024-06-04,2023-08,2024-04,DE ABC; FR ABC,Primary,Extended,sources/CHK24.pdf,https://checkfirst.network/operation-overload-how-pro-russian-actors-flood-newsrooms-with-fake-content-and-seek-to-divert-their-efforts/
FFO24,Germany Targeted by the Pro-Russian Disinformation Campaign “Doppelgänger”,German Federal Foreign Office,State Forensic,2024-06-05,2023-03-01,2024-05-25,DE ABC,Primary,Primary,sources/FFO24.pdf,https://www.auswaertiges-amt.de/resource/blob/2682484/2da31936d1cbeb9faec49df74d8bbe2e/technischer-bericht-desinformationskampagne-doppelgaenger-1--data.pdf
VIG24-2,Matryoshka: A pro-Russian campaign targeting media and the fact-checking community,VIGINUM,State Forensic,2024-06-11,2023-09-05,2024-06,FR ABC; DE AC; IT AC,Primary,Extended,sources/VIG24-2.pdf,https://www.sgdsn.gouv.fr/files/files/20240611_NP_SGDSN_VIGINUM_Matriochka_EN_VF.pdf
EAS24,Doppelganger strikes back: FIMI activities in the context of the EE24,European External Action Service,State Forensic,2024-06-19,2023-02-23,2024-06,DE ABC; FR ABC; IT ABC; PL ABC; ES ABC,Primary,Primary,sources/EAS24.pdf,https://euvsdisinfo.eu/uploads/2024/06/EEAS-TechnicalReport-DoppelgangerEE24_June2024.pdf
HFL24,Mid-year Doppelganger Information Operations in Europe and the US,HarfangLab,Commercial Threat Intel,2024-07-25,2024-05,2024-07,FR ABC; DE ABC; PL AC; HU A,Primary,Primary,sources/HFL24.pdf,https://harfanglab.io/insidethelab/doppelganger-operations-europe-us/
MET24,"Adversarial Threat Report, Second Quarter",Meta,Platform Disclosure,2024-08,2024-04,2024-06,DE AC; FR AC; PL AC,Primary,Primary,sources/MET24.pdf,https://transparency.meta.com/sr/Q2-2024-Adversarial-threat-report/
BLV24-ENG,"Internal Details on the Russian Disinformation Campaign ""Doppelgänger""",Bavarian Office for the Protection of the Constitution,State Forensic,2024-08,2023-05,2024-07,DE ABC; FR ABC; PL AC; IT AC; ES AC,Primary,Primary,sources/BLV24-ENG.pdf,https://www.lfv.bayern.de/wp-content/uploads/2025/05/baylfv_vollanalyse_doppelgaenger.pdf
CMS24,To be continued: The pro-Kremlin disinformation campaign Doppelganger in Germany,CeMAS,NGO / Research,2024-11-19,2023-11,2024-10,DE ABC; FR AC; IT AC; PL AC,Primary,Primary,sources/CMS24.pdf,https://cemas.io/en/publications/to-be-continued-doppelganger-germany
MET24-2,Q2_2023_Doppelganger_Russia_based_CIB_network_updated.csv,Meta,Platform Disclosure,2024-12-03,2022-06,2024-11,FR AB; DE AB; IT AB; LV AB; PL AB,Primary,Primary,sources/MET24-2.csv,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2_2023_Doppelganger_Russia_based_CIB_network_updated.csv
CHK25,"Influence by Design: Doppelgänger Sanctions, Meta and the Social Design Agency",CheckFirst,Commercial Threat Intel,2025-01,2022-05,2024-10,FR AC; DE AC; IT AC; PL AC,Primary,Primary,sources/CHK25.pdf,https://checkfirst.network/wp-content/uploads/2025/01/Influence_by_Design.pdf
CMS25-ENG,Russische Desinformation vor der Bundestagswahl: Doppelgänger-Kampagne macht Stimmung gegen Parteien,CeMAS,NGO / Research,2025-01-20,2024-12-17,2025-01-14,DE ABC,Primary,Primary,sources/CMS25-ENG.pdf,https://btw2025.cemas.io/artikel/update-doppelgaenger
MET25,"Adversarial Threat Report, Fourth Quarter",Meta,Platform Disclosure,2025-02,2024-10,2024-12,FR A; DE A; PL A,Primary,Primary,sources/MET25.pdf,https://transparency.meta.com/sr/Q4-2024-Adversarial-threat-report/
ISD25,"Coordinated disinformation network uses AI, media impersonation to target German election",Institute for Strategic Dialogue,NGO / Research,2025-02-13,2024-11-01,2025-01-30,DE AB,Primary,Primary,sources/ISD25.pdf,https://www.isdglobal.org/digital-dispatch/coordinated-disinformation-network-uses-ai-media-impersonation-to-target-german-election/
REC25,Stimmen aus Moskau: Russian Influence Operations Target German Elections,Recorded Future,Commercial Threat Intel,2025-02-13,2024-10,2025-02,DE ABC,Primary,Primary,sources/REC25.pdf,https://www.recordedfuture.com/research/stimmen-aus-moskau-russian-influence-operations-target-german-elections
